ano,data,codigo,programa,cargo,observacao,estado,eleicao_municipal,municipio,tem_dvd_fisico,dvd_funciona,dvd_no_drive,dvd_no_hd,backup_ok,partidos
2010,2010-09-11 00:00:00,183/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, RN",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTN;PV
2010,2010-09-12 00:00:00,184/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,RN,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTN;PV
2010,2010-09-13 00:00:00,185/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, RN",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTN;PV
2010,2010-09-14 00:00:00,186/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",A gravação tem apenas 32:39 (incompleta),RN,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PDT;PHS;PMDB;PMN;PP;PR;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTC;PTN;PV
2010,2010-09-15 00:00:00,187/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, RN",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-09-16 00:00:00,188/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,RN,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PDT;PHS;PMDB;PMN;PP;PR;PRB;PRP;PSB;PSDC;PSOL;PSTU;PT;PTC;PV
2010,2010-09-17 00:00:00,189/10,HGPE,,A gravação tem apenas 12:11 (incompleta),,NÃO,,SIM,Não,SIM,SIM,SIM,
2010,2010-09-18 00:00:00,190/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,RN,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PDT;PHS;PMDB;PMN;PP;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTN;PV
2010,2010-09-19 00:00:00,191/10,HGPE,PRESIDENTE,A gravação tem apenas 17:52 (incompleta),BRASIL,NÃO,,SIM,Não,SIM,SIM,SIM,PCB;PRTB;PSDB;PSDC;PT;PV
2010,2010-09-20 00:00:00,192/10,HGPE,GOVERNADOR,A gravação tem apenas 16:17 (incompleta),RN,NÃO,,SIM,Não,SIM,SIM,SIM,DEM
2010,2010-09-21 00:00:00,193/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, RN",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTN;PV
2010,2010-09-22 00:00:00,194/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,RN,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PDT;PHS;PMDB;PMN;PR;PRP;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PV
2010,2010-09-23 00:00:00,195/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",A gravação tem apenas 29:43 (incompleta),"BRASIL, RN",NÃO,,SIM,Não,SIM,SIM,SIM,PCB;PCO;PRTB;PSDB;PSDC;PSOL;PSTU;PT;PTC;PV
2010,2010-09-24 00:00:00,197/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, RN",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRP;PRTB;PSB;PSDB;PSDC;PSOL;PSTU;PT;PTC;PV
2010,2010-09-25 00:00:00,198/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,RN,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PDT;PHS;PMDB;PMN;PR;PRB;PRP;PRTB;PSDB;PSDC;PSOL;PSTU;PT;PTC;PV
2010,2010-09-26 00:00:00,200/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,RN,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PDT;PHS;PMDB;PMN;PP;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTN;PV
2010,2010-09-27 00:00:00,201/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, RN",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTC;PTN;PV
2010,2010-09-28 00:00:00,202/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSOL;PSTU;PT;PTB;PTC;PTDOB;PV
2010,2010-09-29 00:00:00,203/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-09-30 00:00:00,204/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRP;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-01 00:00:00,205/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-02 00:00:00,206/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-03 00:00:00,207/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-04 00:00:00,208/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-05 00:00:00,209/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-06 00:00:00,210/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PSB;PSC;PSDB;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-07 00:00:00,211/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PP;PPS;PR;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSOL;PSTU;PT;PTB;PTC;PTDOB;PV
2010,2010-10-08 00:00:00,212/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-09 00:00:00,213/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-10 00:00:00,214/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PSB;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-11 00:00:00,215/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-12 00:00:00,216/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRP;PRTB;PSB;PSC;PSDB;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-13 00:00:00,217/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-14 00:00:00,218/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PMDB;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PV
2010,2010-10-15 00:00:00,219/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTN;PV
2010,2010-10-16 00:00:00,220/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-17 00:00:00,221/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PV
2010,2010-10-18 00:00:00,222/10,HGPE,"GOVERNADOR, SENADOR, DEPUTADO ESTADUAL",,MG,NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PHS;PMDB;PMN;PP;PPS;PR;PRB;PRP;PRTB;PSB;PSC;PSDB;PSDC;PSL;PSOL;PSTU;PT;PTB;PTC;PTDOB;PTN;PV
2010,2010-10-19 00:00:00,223/10,HGPE,"PRESIDENTE, DEPUTADO FEDERAL",,"BRASIL, MG",NÃO,,SIM,Sim,SIM,SIM,SIM,DEM;PCB;PCDOB;PCO;PDT;PMDB;PMN;PP;PPS;PR;PRB;PRTB;PSB;PSC;PSDB;PSDC;PSOL;PSTU;PT;PTB;PTC;PV
