ano,eleicao,cargo,turno,titulo,url
2014,Proporcional,Deputado Estadual,,PC do B,https://drive.google.com/file/d/1dwvJ9iOzk1RsumntNMbglyRvCS5b-LPv/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PCB,https://drive.google.com/file/d/1YlDsYnq3VAZXl9f4m-h22fK1mx-3xBI0/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PDT,https://drive.google.com/file/d/1tst0UEgEiH7yyZVYo9QW42DdQLMqwxDq/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PEN,https://drive.google.com/file/d/14IjevaPx7_pIYL6iawdZplUARAbdo0QJ/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PHS,https://drive.google.com/file/d/1LJLMI27wAOjItjFsM9SBrRWyfUDoZCfb/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PMDB,https://drive.google.com/file/d/11ZIwA8gd53odR3GSsKmrLcL4tbuALSkN/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PMN,https://drive.google.com/file/d/18mWgHsRb1NDq6roSmpbROV79pgAsaKI1/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PP,https://drive.google.com/file/d/1yiu__fuQ2pQ2ringBGjuTt1bfVeUOB7O/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PPL,https://drive.google.com/file/d/1bYScfkOX5ywhTSFsNw76XMs-YFckghAz/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PPS,https://drive.google.com/file/d/1QfUaQ2nCNVBgAVKEEURgT-i7WbLyIhwH/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PR,https://drive.google.com/file/d/1bmD6rITrUK2TeK4xOVPC-emqwmpghFBD/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PRB,https://drive.google.com/file/d/1jf-T8wzz4FRdqlN9iHndVVhhpvshSsf4/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PROS,https://drive.google.com/file/d/1ITl83jh9cmKvp5x7vf0wZJ7Y7kwJgEJQ/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PRP,https://drive.google.com/file/d/1JdunLOq4WFo0cEedEumzXpGUGN9E6ysA/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PRTB,https://drive.google.com/file/d/1SrXojKoh8zGmcw-ElEucpVQZu7NpqnE1/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PSB,https://drive.google.com/file/d/1a9tH8tGdvFnHxoF7QXrOzYAkkLFD_Wuv/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PSC,https://drive.google.com/file/d/1xA8UiIoACEJMIrP9ZZCwGsEpPBHC8UBi/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PSD,https://drive.google.com/file/d/1WecbPgUb-2MEJa8j8ITnmM82Jq-N77AC/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PSDB,https://drive.google.com/file/d/1PfT8VzeHgVsg7uUKmbUeNyboYurA-p6H/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PSDC,https://drive.google.com/file/d/1WftfcaGNg6CaljRN0Tnif9W1kswaKsng/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PSL,https://drive.google.com/file/d/1EGpGnKplAw6twImc-5445n9t-1bwRTPl/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PSOL,https://drive.google.com/file/d/1Zu_3oYJ41vLuKXbg859rXQznfWkz-sDy/view?usp=sharing
